Date,Open,High,Low,Close,Adj Close,Volume
2007-06-12,330.79998779296875,331.20001220703125,314.1000061035156,316.1499938964844,276.1164245605469,8091
2007-06-13,318.70001220703125,323.0,315.75,316.75,276.6404724121094,4408
2007-06-14,320.0,322.0,318.1000061035156,318.79998779296875,278.4308776855469,6685
2007-06-15,327.45001220703125,327.45001220703125,317.1000061035156,318.54998779296875,278.2125244140625,4594
2007-06-18,321.04998779296875,326.0,311.0,314.25,274.45703125,6407
2007-06-19,315.0,319.95001220703125,312.0,313.70001220703125,273.9766845703125,7036
2007-06-20,316.0,318.95001220703125,312.04998779296875,313.25,273.5837097167969,8615
2007-06-21,302.6499938964844,333.3999938964844,302.6499938964844,320.95001220703125,280.3086242675781,34036
2007-06-22,326.0,342.3999938964844,306.04998779296875,310.8999938964844,271.53118896484375,138957
2007-06-25,329.95001220703125,330.0,307.5,310.3500061035156,271.0508117675781,66430
2007-06-26,314.79998779296875,314.79998779296875,303.3500061035156,305.1000061035156,266.46563720703125,24755
2007-06-27,350.0,350.0,301.54998779296875,302.95001220703125,264.5879211425781,12649
2007-06-28,305.5,307.79998779296875,297.0,300.1000061035156,262.09881591796875,13030
2007-06-29,300.0,303.0,294.0,295.1499938964844,257.7756042480469,17891
2007-07-02,299.1000061035156,308.6000061035156,296.6000061035156,301.04998779296875,262.9284973144531,19317
2007-07-03,305.79998779296875,306.0,301.0,302.5,264.1949462890625,26668
2007-07-04,306.0,312.95001220703125,303.5,305.8500061035156,267.1206359863281,44246
2007-07-05,306.04998779296875,307.8999938964844,298.0,300.54998779296875,262.4918212890625,15702
2007-07-06,294.1000061035156,301.25,294.1000061035156,298.1000061035156,260.3520812988281,16584
2007-07-09,307.8999938964844,319.95001220703125,301.0,305.3500061035156,266.6840515136719,39363
2007-07-10,306.04998779296875,311.0,299.0,300.75,262.6664733886719,21084
2007-07-11,300.0,304.8999938964844,298.1000061035156,299.3500061035156,261.44378662109375,9521
2007-07-12,309.79998779296875,309.79998779296875,296.5,299.0,261.1380920410156,14516
2007-07-13,308.0,348.6000061035156,300.1499938964844,317.79998779296875,277.55743408203125,348133
2007-07-16,322.0,325.0,307.20001220703125,309.04998779296875,269.9154968261719,83150
2007-07-17,312.29998779296875,321.0,299.0,300.79998779296875,262.71014404296875,74469
2007-07-18,300.0,304.20001220703125,293.0,295.75,258.2996520996094,51817
2007-07-19,297.8500061035156,301.95001220703125,290.1499938964844,291.3999938964844,254.5004425048828,41730
2007-07-20,297.0,304.95001220703125,284.0,287.6499938964844,251.225341796875,74130
2007-07-23,280.6000061035156,287.8999938964844,278.8500061035156,280.20001220703125,244.71873474121094,34209
2007-07-24,282.29998779296875,289.3999938964844,276.5,278.45001220703125,243.1903076171875,21133
2007-07-25,277.0,282.0,267.95001220703125,271.29998779296875,236.94570922851562,48538
2007-07-26,275.0,283.0,272.75,279.1499938964844,243.8016357421875,30356
2007-07-27,268.0,275.79998779296875,267.0,268.25,234.28192138671875,21788
2007-07-30,272.0,274.0,262.0,265.0,231.44345092773438,18487
2007-07-31,269.0,278.0,265.5,271.29998779296875,236.94570922851562,26413
2007-08-01,276.0,278.0,264.1000061035156,265.0,231.44345092773438,27154
2007-08-02,269.0,272.79998779296875,261.1000061035156,262.8999938964844,229.60939025878906,11053
2007-08-03,266.8999938964844,268.0,261.0,261.70001220703125,228.56134033203125,15684
2007-08-06,261.0,261.0,252.10000610351562,253.1999969482422,221.13766479492188,18308
2007-08-07,260.0,261.0,251.10000610351562,252.6999969482422,220.70098876953125,9225
2007-08-08,257.79998779296875,303.25,257.79998779296875,292.6000061035156,255.548583984375,394795
2007-08-09,301.8999938964844,304.79998779296875,275.0,278.20001220703125,242.97195434570312,175967
2007-08-10,270.0,280.0,263.25,269.8999938964844,235.7229461669922,32357
2007-08-13,274.79998779296875,280.0,272.0,273.0,238.430419921875,20297
2007-08-14,275.8999938964844,302.0,270.0,288.25,251.7493438720703,144665
2007-08-16,270.1000061035156,285.79998779296875,268.0,273.20001220703125,238.60511779785156,34715
2007-08-17,271.0,277.8500061035156,258.0,265.1000061035156,231.53079223632812,38560
2007-08-20,276.8999938964844,280.0,263.1499938964844,266.04998779296875,232.36045837402344,23467
2007-08-21,270.0,270.8500061035156,253.0,254.64999389648438,222.40406799316406,29723
2007-08-22,259.8999938964844,262.3999938964844,250.0,252.60000610351562,220.6136474609375,17672
2007-08-23,257.0,266.0,250.0,251.1999969482422,219.39093017578125,29901
2007-08-24,251.1999969482422,257.0,250.0,251.5,219.6529541015625,16876
